rifugio,acquedotto,sorgente,sorgente_potabile,superficiale,possibile_potabilizzatore,cisterna_m3,recupero_piovana,ingresso,recupero_grigie,consumo_bott_15,consumo_bott_05,lamp_uv,note,standard_name
"Alpe Pozza - ""V.Lancia""",0.0,1.0,0.0,0,1.0,30+10,,caduta,,150.0,200.0,SI,,alpepozzavlancia
"Altissimo - ""D.Chiesa""",0.0,1.0,0.0,0,0.0,30,60,pompa,,2000.0,2500.0,SI,Progetto lavori su presa pompa,altissimodchiesa
Antermoia,0.0,0.0,0.0,torr-lago,1.0,10+8,,pompa,,2550.0,700.0,SI,,antermoia
"Bindesi - ""P.Prati""",1.0,0.0,0.0,0,0.0,,,,,,450.0,NO,,bindesipprati
"Bocca di Trat - ""N.Pernici""",0.0,1.0,0.0,0,1.0,10+10,,caduta,,,1300.0,SI,"Progetto nuove cisterne, da finanziare",boccaditratnpernici
Boè,0.0,0.0,0.0,misto,1.0,100,,pompa,SI,,8500.0,SI,Installata filtrazione e mineralizzazione,boè
"Carè Alto - ""D.Ongari""",0.0,0.0,0.0,torr-rio,1.0,2,,caduta,,,,SI,,carèaltodongari
"Casarota  ""L.Ciola""",0.0,1.0,0.0,0,1.0,20,,caduta,,350.0,650.0,SI,,casarotalciola
"Cevedale - ""G.Larcher""",0.0,0.0,0.0,torr-rio,1.0,30,,caduta,,420.0,700.0,SI,,cevedaleglarcher
Ciampediè,1.0,0.0,0.0,0,0.0,,,,,,400.0,NO,,ciampediè
"Cima d'Asta - ""O.Brentari""",0.0,0.0,0.0,lago,1.0,10,,caduta,,400.0,600.0,SI,,cimadastaobrentari
XII Apostoli - “F.lli Garbari”,0.0,0.0,0.0,fusione,0.0,30,,caduta,,600.0,350.0,SI,,xiiapostoliflligarbari
“F.F.Tuckett” e “Q.Sella”,0.0,0.0,0.0,fusione,0.0,50,,caduta,,3200.0,3200.0,SI,,fftucketteqsella
"Finonchio - ""F.lli Filzi""",1.0,0.0,0.0,0,0.0,att. cisterna,,,,300.0,600.0,NO,Da predisporre collegamento con acquedotto,finonchiofllifilzi
"Grostè - ""G.Graffer""",0.0,1.0,0.0,0,1.0,500+300,,pompa,,5000.0,2800.0,NO,,grostèggraffer
"Mandron - ""Città di Trento""",0.0,0.0,0.0,torr-lago,1.0,,,caduta,,1000.0,300.0,SI,Installazione UV e filtri (cantiere 2021),mandroncittàditrento
"Monte Calino - “San Pietro""",1.0,0.0,0.0,0,0.0,,,,,,7550.0,NO,,montecalinosanpietro
"Monzoni - ""T.Taramelli""",0.0,0.0,0.0,torr-rio,1.0,,,caduta,,200.0,950.0,SI,,monzonittaramelli
Paludei,1.0,0.0,0.0,0,0.0,,,,,,100.0,NO,,paludei
Peller,0.0,1.0,0.0,0,1.0,30,20,caduta,,,,SI,Bott. Vetro ?!?,peller
Roda di Vael,1.0,0.0,0.0,0,1.0,24,,caduta,,5600.0,3200.0,SI,,rodadivael
"Rosetta - ""G.Pedrotti""",0.0,0.0,0.0,fusione,1.0,70+20,,pompa,,840.0,4500.0,SI,,rosettagpedrotti
"Saent - ""S.Dorigoni""",0.0,0.0,0.0,lago-torr,1.0,17,,caduta,,,,NO,Rifugio con depuratore per esperimento pilota,saentsdorigoni
Sette Selle,0.0,1.0,0.0,0,1.0,,,caduta,,,600.0,SI,,setteselle
"Spruggio - ""G.Tonini""",,,,,,,,,,,,,,spruggiogtonini
"Stavel - ""F.Denza""",0.0,1.0,0.0,0,1.0,,,caduta,,800.0,180.0,SI,,stavelfdenza
"Stivo - ""P.Marchetti""",0.0,0.0,0.0,0,0.0,80,sì (??),pompa,Pred.,,250.0,SI,Per recupero acque grigie manca pompa,stivopmarchetti
"Tosa e ""T.Pedrotti""",0.0,1.0,0.0,0,1.0,,,caduta,,2800.0,500.0,SI,Valutare potabilità senza depuratore,tosaetpedrotti
Vaiolet,0.0,0.0,0.0,torr-rio,1.0,10,,caduta,,2200.0,2100.0,SI,Cisterna in costruzione,vaiolet
"Val d'Ambiez - ""S.Agostini""",0.0,0.0,0.0,fusione,1.0,10,,caduta,,700.0,200.0,SI,,valdambiezsagostini
"Val d'Amola - ""G.Segantini""",0.0,0.0,0.0,lago,1.0,,,caduta,,360.0,720.0,SI,Installazione UV e filtri + mineral (cantiere 2021),valdamolagsegantini
Val di Fumo,0.0,0.0,0.0,torr-rio,1.0,2,,caduta,,,,SI,Installazione UV e filtri (apertura 2021),valdifumo
Velo Madonna,0.0,0.0,0.0,fusione,0.0,30,,caduta,,,,SI,,velomadonna
Vioz,0.0,0.0,0.0,fusione,0.0,60,,caduta,,720.0,1000.0,SI,,vioz
