standard_name,TOPSIS_equal,TOPSIS_entropy,TOPSIS_critic,TOPSIS_custom,VIKOR_equal,VIKOR_entropy,VIKOR_critic,VIKOR_custom,PROMETHEE_II_equal,PROMETHEE_II_entropy,PROMETHEE_II_critic,PROMETHEE_II_custom
montecalinosanpietro,2,8,1,1,3,18,1,1,33,28,31,1
carèaltodongari,12,15,9,2,13,22,11,2,19,13,14,10
rodadivael,6,7,6,3,1,2,6,10,3,15,11,6
bindesipprati,3,3,3,4,4,10,2,12,18,10,18,4
paludei,3,3,3,4,4,10,2,12,7,7,6,29
saentsdorigoni,25,12,30,6,29,15,30,6,25,3,23,30
ciampediè,5,2,2,7,6,7,4,17,15,2,12,22
setteselle,16,9,25,8,19,19,28,3,13,9,21,26
stavelfdenza,14,17,10,9,15,24,13,4,24,24,3,3
peller,9,10,12,10,9,5,10,7,31,32,29,11
grostèggraffer,1,1,5,11,2,8,5,15,23,14,13,8
finonchiofllifilzi,13,5,11,12,12,12,12,21,5,1,2,14
altissimodchiesa,8,13,15,13,8,9,9,16,20,19,20,20
casarotalciola,10,14,8,14,10,14,8,19,2,12,8,24
mandroncittàditrento,7,16,7,15,7,23,7,5,28,8,33,5
boccaditratnpernici,15,11,21,16,16,13,15,20,10,4,10,18
valdamolagsegantini,18,21,13,17,18,28,17,8,26,29,22,25
cimadastaobrentari,19,22,14,18,20,26,18,9,6,22,7,13
alpepozzavlancia,26,20,24,19,25,4,23,22,16,20,16,16
monzonittaramelli,23,18,22,20,21,25,21,11,21,16,5,15
boè,22,26,26,21,14,29,27,14,14,18,15,23
valdifumo,31,23,31,22,31,27,31,18,32,11,27,28
tosaetpedrotti,28,24,20,23,30,30,26,29,22,6,1,12
antermoia,27,27,23,24,26,21,22,23,4,21,4,7
vaiolet,30,31,27,25,28,31,25,25,11,33,17,33
fftucketteqsella,17,25,16,26,17,1,16,26,8,23,24,2
xiiapostoliflligarbari,20,29,17,27,22,17,19,27,9,27,9,32
velomadonna,21,30,18,28,23,20,20,28,27,25,32,9
valdambiezsagostini,11,6,19,29,11,6,14,24,17,31,25,31
stivopmarchetti,24,33,28,30,24,33,24,30,29,17,26,27
cevedaleglarcher,33,28,33,31,33,16,33,32,12,5,19,19
rosettagpedrotti,29,19,29,32,27,3,29,31,1,26,28,17
vioz,32,32,32,33,32,32,32,33,30,30,30,21
